model,seed,concept,layer,rank,direction,context,eval_lang,acc,logit_diff,n
facebook/xglm-564M,0,side,14,1,bn,informative,hi,0.525,0.08593616684277852,120
facebook/xglm-564M,0,side,14,1,bn,neutral,bn,0.5,-0.2997426887353261,120
facebook/xglm-564M,0,side,14,1,bn,neutral,en,0.5,0.0,120
facebook/xglm-564M,0,side,14,1,bn,neutral,hi,0.5,0.27056732078393303,120
facebook/xglm-564M,0,side,16,1,bn,informative,bn,0.30833333333333335,-0.7642528613408407,120
facebook/xglm-564M,0,side,16,1,bn,informative,en,0.5,0.10363156000773112,120
facebook/xglm-564M,0,side,16,1,bn,informative,hi,0.5416666666666666,0.07537787854671478,120
facebook/xglm-564M,0,side,16,1,bn,neutral,bn,0.5,-0.37224993904431664,120
facebook/xglm-564M,0,side,16,1,bn,neutral,en,0.5,0.0,120
facebook/xglm-564M,0,side,16,1,bn,neutral,hi,0.5,0.2614973654349645,120
facebook/xglm-564M,0,side,18,1,bn,informative,bn,0.30833333333333335,-0.7262493471304575,120
facebook/xglm-564M,0,side,18,1,bn,informative,en,0.5,0.09778270721435547,120
facebook/xglm-564M,0,side,18,1,bn,informative,hi,0.5166666666666667,0.08353820741176606,120
facebook/xglm-564M,0,side,18,1,bn,neutral,bn,0.49166666666666664,-0.36146103739738467,120
facebook/xglm-564M,0,side,18,1,bn,neutral,en,0.5,0.0,120
facebook/xglm-564M,0,side,18,1,bn,neutral,hi,0.5,0.2700358788172404,120
facebook/xglm-564M,0,side,20,1,bn,informative,bn,0.25833333333333336,-0.7052155752976735,120
facebook/xglm-564M,0,side,20,1,bn,informative,en,0.5,0.09820820490519205,120
facebook/xglm-564M,0,side,20,1,bn,informative,hi,0.5166666666666667,0.08696450293064117,120
facebook/xglm-564M,0,side,20,1,bn,neutral,bn,0.475,-0.34071316321690875,120
facebook/xglm-564M,0,side,20,1,bn,neutral,en,0.5,0.0,120
facebook/xglm-564M,0,side,20,1,bn,neutral,hi,0.5,0.2721472849448522,120
facebook/xglm-564M,0,side,22,1,bn,informative,bn,0.25,-0.656725537776947,120
