model,seed,concept,layer,rank,direction,lang,acc_before,acc_after
bigscience/bloom-560m,2,gender,8,1,random,bn,1.0,1.0
bigscience/bloom-560m,2,side_aunt,10,1,random,bn,1.0,1.0
bigscience/bloom-560m,2,gender,10,1,random,bn,1.0,1.0
bigscience/bloom-560m,2,side_aunt,12,1,random,bn,1.0,1.0
bigscience/bloom-560m,2,gender,12,1,random,bn,1.0,1.0
bigscience/bloom-560m,2,side_aunt,12,4,random,bn,1.0,1.0
bigscience/bloom-560m,2,gender,12,4,random,bn,1.0,1.0
bigscience/bloom-560m,2,side_aunt,14,1,random,bn,1.0,1.0
bigscience/bloom-560m,2,gender,14,1,random,bn,1.0,1.0
bigscience/bloom-560m,2,side_aunt,16,1,random,bn,1.0,1.0
bigscience/bloom-560m,2,gender,16,1,random,bn,1.0,1.0
bigscience/bloom-560m,2,side_aunt,18,1,random,bn,1.0,1.0
bigscience/bloom-560m,2,gender,18,1,random,bn,1.0,1.0
bigscience/bloom-560m,2,side_aunt,20,1,random,bn,1.0,1.0
bigscience/bloom-560m,2,gender,20,1,random,bn,1.0,1.0
bigscience/bloom-560m,2,side_aunt,22,1,random,bn,1.0,1.0
bigscience/bloom-560m,2,gender,22,1,random,bn,1.0,1.0
