model,seed,concept,layer,train_context,train_lang,test_context,test_lang,control,acc
bigscience/bloom-1b7,0,side,14,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,0,side,14,informative,bn,informative,hi,none,0.5
bigscience/bloom-1b7,0,side,14,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,0,side,14,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,0,side,14,informative,bn,neutral,hi,none,0.4166666666666667
bigscience/bloom-1b7,0,side,14,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,14,informative,bn,informative,bn,shuffled,0.5833333333333334
bigscience/bloom-1b7,0,side,15,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,0,side,15,informative,bn,informative,hi,none,0.5
bigscience/bloom-1b7,0,side,15,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,0,side,15,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,0,side,15,informative,bn,neutral,hi,none,0.5
bigscience/bloom-1b7,0,side,15,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,15,informative,bn,informative,bn,shuffled,0.4166666666666667
bigscience/bloom-1b7,0,side,16,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,0,side,16,informative,bn,informative,hi,none,0.5
bigscience/bloom-1b7,0,side,16,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,0,side,16,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,0,side,16,informative,bn,neutral,hi,none,0.5
bigscience/bloom-1b7,0,side,16,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,16,informative,bn,informative,bn,shuffled,0.5
bigscience/bloom-1b7,0,side,17,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,0,side,17,informative,bn,informative,hi,none,0.0083333333333333
bigscience/bloom-1b7,0,side,17,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,0,side,17,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,0,side,17,informative,bn,neutral,hi,none,0.0
bigscience/bloom-1b7,0,side,17,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,17,informative,bn,informative,bn,shuffled,0.4166666666666667
bigscience/bloom-1b7,0,side,18,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,0,side,18,informative,bn,informative,hi,none,0.5
bigscience/bloom-1b7,0,side,18,informative,bn,informative,en,none,0.8083333333333333
bigscience/bloom-1b7,0,side,18,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,0,side,18,informative,bn,neutral,hi,none,0.5
bigscience/bloom-1b7,0,side,18,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,18,informative,bn,informative,bn,shuffled,0.4166666666666667
bigscience/bloom-1b7,0,side,19,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,0,side,19,informative,bn,informative,hi,none,0.5
bigscience/bloom-1b7,0,side,19,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,0,side,19,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,0,side,19,informative,bn,neutral,hi,none,0.5
bigscience/bloom-1b7,0,side,19,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,19,informative,bn,informative,bn,shuffled,0.4166666666666667
bigscience/bloom-1b7,0,side,20,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,0,side,20,informative,bn,informative,hi,none,0.5
bigscience/bloom-1b7,0,side,20,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,0,side,20,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,0,side,20,informative,bn,neutral,hi,none,0.5
bigscience/bloom-1b7,0,side,20,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,20,informative,bn,informative,bn,shuffled,0.4166666666666667
bigscience/bloom-1b7,0,side,21,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,0,side,21,informative,bn,informative,hi,none,0.5
bigscience/bloom-1b7,0,side,21,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,0,side,21,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,0,side,21,informative,bn,neutral,hi,none,0.5
bigscience/bloom-1b7,0,side,21,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,0,side,21,informative,bn,informative,bn,shuffled,0.4166666666666667
bigscience/bloom-1b7,0,side,22,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,0,side,22,informative,bn,informative,hi,none,0.5
bigscience/bloom-1b7,0,side,22,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,0,side,22,informative,bn,neutral,bn,none,1.0
