model,seed,concept,layer,train_context,train_lang,test_context,test_lang,control,acc
bigscience/bloom-1b7,4,side_aunt,10,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,10,informative,bn,informative,bn,shuffled,0.5
bigscience/bloom-1b7,4,side_aunt,11,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,11,informative,bn,informative,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,11,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,11,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,11,informative,bn,neutral,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,11,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,11,informative,bn,informative,bn,shuffled,0.6666666666666666
bigscience/bloom-1b7,4,side_aunt,12,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,12,informative,bn,informative,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,12,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,12,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,12,informative,bn,neutral,hi,none,0.8333333333333334
bigscience/bloom-1b7,4,side_aunt,12,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,12,informative,bn,informative,bn,shuffled,0.5833333333333334
bigscience/bloom-1b7,4,side_aunt,13,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,13,informative,bn,informative,hi,none,0.8333333333333334
bigscience/bloom-1b7,4,side_aunt,13,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,13,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,13,informative,bn,neutral,hi,none,0.5
bigscience/bloom-1b7,4,side_aunt,13,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,13,informative,bn,informative,bn,shuffled,0.5
bigscience/bloom-1b7,4,side_aunt,14,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,14,informative,bn,informative,hi,none,0.8333333333333334
bigscience/bloom-1b7,4,side_aunt,14,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,14,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,14,informative,bn,neutral,hi,none,0.5833333333333334
bigscience/bloom-1b7,4,side_aunt,14,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,14,informative,bn,informative,bn,shuffled,0.5833333333333334
bigscience/bloom-1b7,4,side_aunt,15,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,15,informative,bn,informative,hi,none,0.5
bigscience/bloom-1b7,4,side_aunt,15,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,15,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,15,informative,bn,neutral,hi,none,0.5
bigscience/bloom-1b7,4,side_aunt,15,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,15,informative,bn,informative,bn,shuffled,0.4166666666666667
bigscience/bloom-1b7,4,side_aunt,16,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,16,informative,bn,informative,hi,none,0.5
bigscience/bloom-1b7,4,side_aunt,16,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,16,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,16,informative,bn,neutral,hi,none,0.5
bigscience/bloom-1b7,4,side_aunt,16,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,16,informative,bn,informative,bn,shuffled,0.5833333333333334
bigscience/bloom-1b7,4,side_aunt,17,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,17,informative,bn,informative,hi,none,0.8333333333333334
bigscience/bloom-1b7,4,side_aunt,17,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,17,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,17,informative,bn,neutral,hi,none,0.75
bigscience/bloom-1b7,4,side_aunt,17,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,17,informative,bn,informative,bn,shuffled,0.5833333333333334
bigscience/bloom-1b7,4,side_aunt,18,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,18,informative,bn,informative,hi,none,0.8333333333333334
bigscience/bloom-1b7,4,side_aunt,18,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,18,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,18,informative,bn,neutral,hi,none,0.5833333333333334
bigscience/bloom-1b7,4,side_aunt,18,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,18,informative,bn,informative,bn,shuffled,0.5
bigscience/bloom-1b7,4,side_aunt,19,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,19,informative,bn,informative,hi,none,0.6666666666666666
bigscience/bloom-1b7,4,side_aunt,19,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,19,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,19,informative,bn,neutral,hi,none,0.5833333333333334
bigscience/bloom-1b7,4,side_aunt,19,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,19,informative,bn,informative,bn,shuffled,0.5833333333333334
bigscience/bloom-1b7,4,side_aunt,20,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,20,informative,bn,informative,hi,none,0.6666666666666666
bigscience/bloom-1b7,4,side_aunt,20,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,20,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,20,informative,bn,neutral,hi,none,0.5
bigscience/bloom-1b7,4,side_aunt,20,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,20,informative,bn,informative,bn,shuffled,0.5
bigscience/bloom-1b7,4,side_aunt,21,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,21,informative,bn,informative,hi,none,0.5
bigscience/bloom-1b7,4,side_aunt,21,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,21,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,21,informative,bn,neutral,hi,none,0.5
bigscience/bloom-1b7,4,side_aunt,21,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,21,informative,bn,informative,bn,shuffled,0.4166666666666667
bigscience/bloom-1b7,4,side_aunt,22,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,22,informative,bn,informative,hi,none,0.5833333333333334
bigscience/bloom-1b7,4,side_aunt,22,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,22,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,22,informative,bn,neutral,hi,none,0.5
bigscience/bloom-1b7,4,side_aunt,22,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,22,informative,bn,informative,bn,shuffled,0.3333333333333333
bigscience/bloom-1b7,4,side_aunt,23,informative,bn,informative,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,23,informative,bn,informative,hi,none,0.5833333333333334
bigscience/bloom-1b7,4,side_aunt,23,informative,bn,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,23,informative,bn,neutral,bn,none,1.0
bigscience/bloom-1b7,4,side_aunt,23,informative,bn,neutral,hi,none,0.5
bigscience/bloom-1b7,4,side_aunt,23,informative,bn,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,23,informative,bn,informative,bn,shuffled,0.4166666666666667
bigscience/bloom-1b7,4,side_aunt,0,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,0,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,0,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,0,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,0,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,0,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,0,informative,hi,informative,hi,shuffled,0.3333333333333333
bigscience/bloom-1b7,4,side_aunt,1,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,1,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,1,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,1,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,1,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,1,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,1,informative,hi,informative,hi,shuffled,0.25
bigscience/bloom-1b7,4,side_aunt,2,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,2,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,2,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,2,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,2,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,2,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,2,informative,hi,informative,hi,shuffled,0.5
bigscience/bloom-1b7,4,side_aunt,3,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,3,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,3,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,3,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,3,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,3,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,3,informative,hi,informative,hi,shuffled,0.75
bigscience/bloom-1b7,4,side_aunt,4,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,4,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,4,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,4,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,4,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,4,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,4,informative,hi,informative,hi,shuffled,0.6666666666666666
bigscience/bloom-1b7,4,side_aunt,5,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,5,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,5,informative,hi,informative,en,none,0.5833333333333334
bigscience/bloom-1b7,4,side_aunt,5,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,5,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,5,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,5,informative,hi,informative,hi,shuffled,0.8333333333333334
bigscience/bloom-1b7,4,side_aunt,6,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,6,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,6,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,6,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,6,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,6,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,6,informative,hi,informative,hi,shuffled,0.6666666666666666
bigscience/bloom-1b7,4,side_aunt,7,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,7,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,7,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,7,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,7,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,7,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,7,informative,hi,informative,hi,shuffled,0.3333333333333333
bigscience/bloom-1b7,4,side_aunt,8,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,8,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,8,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,8,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,8,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,8,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,8,informative,hi,informative,hi,shuffled,0.5833333333333334
bigscience/bloom-1b7,4,side_aunt,9,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,9,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,9,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,9,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,9,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,9,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,9,informative,hi,informative,hi,shuffled,0.4166666666666667
bigscience/bloom-1b7,4,side_aunt,10,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,10,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,10,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,10,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,10,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,10,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,10,informative,hi,informative,hi,shuffled,0.5
bigscience/bloom-1b7,4,side_aunt,11,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,11,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,11,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,11,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,11,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,11,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,11,informative,hi,informative,hi,shuffled,0.5833333333333334
bigscience/bloom-1b7,4,side_aunt,12,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,12,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,12,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,12,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,12,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,12,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,12,informative,hi,informative,hi,shuffled,0.5583333333333333
bigscience/bloom-1b7,4,side_aunt,13,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,13,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,13,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,13,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,13,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,13,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,13,informative,hi,informative,hi,shuffled,0.5
bigscience/bloom-1b7,4,side_aunt,14,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,14,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,14,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,14,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,14,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,14,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,14,informative,hi,informative,hi,shuffled,0.5833333333333334
bigscience/bloom-1b7,4,side_aunt,15,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,15,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,15,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,15,informative,hi,neutral,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,15,informative,hi,neutral,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,15,informative,hi,neutral,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,15,informative,hi,informative,hi,shuffled,0.5833333333333334
bigscience/bloom-1b7,4,side_aunt,16,informative,hi,informative,bn,none,0.5
bigscience/bloom-1b7,4,side_aunt,16,informative,hi,informative,hi,none,1.0
bigscience/bloom-1b7,4,side_aunt,16,informative,hi,informative,en,none,0.5
bigscience/bloom-1b7,4,side_aunt,16,informative,hi,neutral,bn,none,0.5
