model,seed,concept,layer,train_context,train_lang,test_context,test_lang,control,acc
__tiny_random__,0,gender,3,informative,en,informative,bn,none,0.5
__tiny_random__,0,gender,3,informative,en,informative,hi,none,0.0
__tiny_random__,0,gender,3,informative,en,informative,en,none,1.0
__tiny_random__,0,gender,3,informative,en,neutral,bn,none,0.5
__tiny_random__,0,gender,3,informative,en,neutral,hi,none,0.08333333333333333
__tiny_random__,0,gender,3,informative,en,neutral,en,none,1.0
__tiny_random__,0,gender,3,informative,en,informative,en,shuffled,0.5833333333333334
__tiny_random__,0,gender,0,neutral,bn,informative,bn,none,1.0
__tiny_random__,0,gender,0,neutral,bn,informative,hi,none,1.0
__tiny_random__,0,gender,0,neutral,bn,informative,en,none,0.5
__tiny_random__,0,gender,0,neutral,bn,neutral,bn,none,1.0
__tiny_random__,0,gender,0,neutral,bn,neutral,hi,none,1.0
__tiny_random__,0,gender,0,neutral,bn,neutral,en,none,0.5
__tiny_random__,0,gender,0,neutral,bn,neutral,bn,shuffled,0.6666666666666666
__tiny_random__,0,gender,1,neutral,bn,informative,bn,none,1.0
__tiny_random__,0,gender,1,neutral,bn,informative,hi,none,1.0
__tiny_random__,0,gender,1,neutral,bn,informative,en,none,0.5
__tiny_random__,0,gender,1,neutral,bn,neutral,bn,none,1.0
__tiny_random__,0,gender,1,neutral,bn,neutral,hi,none,1.0
__tiny_random__,0,gender,1,neutral,bn,neutral,en,none,0.75
__tiny_random__,0,gender,1,neutral,bn,neutral,bn,shuffled,0.9166666666666666
__tiny_random__,0,gender,2,neutral,bn,informative,bn,none,1.0
__tiny_random__,0,gender,2,neutral,bn,informative,hi,none,0.75
__tiny_random__,0,gender,2,neutral,bn,informative,en,none,0.5
__tiny_random__,0,gender,2,neutral,bn,neutral,bn,none,1.0
__tiny_random__,0,gender,2,neutral,bn,neutral,hi,none,0.6666666666666666
__tiny_random__,0,gender,2,neutral,bn,neutral,en,none,0.5
__tiny_random__,0,gender,2,neutral,bn,neutral,bn,shuffled,0.5833333333333334
__tiny_random__,0,gender,3,neutral,bn,informative,bn,none,1.0
__tiny_random__,0,gender,3,neutral,bn,informative,hi,none,0.75
__tiny_random__,0,gender,3,neutral,bn,informative,en,none,0.5
__tiny_random__,0,gender,3,neutral,bn,neutral,bn,none,1.0
__tiny_random__,0,gender,3,neutral,bn,neutral,hi,none,0.75
__tiny_random__,0,gender,3,neutral,bn,neutral,en,none,0.9166666666666666
__tiny_random__,0,gender,3,neutral,bn,neutral,bn,shuffled,0.6666666666666666
__tiny_random__,0,gender,0,neutral,hi,informative,bn,none,0.9166666666666666
__tiny_random__,0,gender,0,neutral,hi,informative,hi,none,1.0
__tiny_random__,0,gender,0,neutral,hi,informative,en,none,0.5
__tiny_random__,0,gender,0,neutral,hi,neutral,bn,none,0.8333333333333334
__tiny_random__,0,gender,0,neutral,hi,neutral,hi,none,1.0
__tiny_random__,0,gender,0,neutral,hi,neutral,en,none,0.5
__tiny_random__,0,gender,0,neutral,hi,neutral,hi,shuffled,0.5833333333333334
__tiny_random__,0,gender,1,neutral,hi,informative,bn,none,0.9166666666666666
__tiny_random__,0,gender,1,neutral,hi,informative,hi,none,1.0
__tiny_random__,0,gender,1,neutral,hi,informative,en,none,0.5
__tiny_random__,0,gender,1,neutral,hi,neutral,bn,none,0.5
__tiny_random__,0,gender,1,neutral,hi,neutral,hi,none,1.0
__tiny_random__,0,gender,1,neutral,hi,neutral,en,none,0.5
__tiny_random__,0,gender,1,neutral,hi,neutral,hi,shuffled,0.5833333333333334
__tiny_random__,0,gender,2,neutral,hi,informative,bn,none,0.5833333333333334
__tiny_random__,0,gender,2,neutral,hi,informative,hi,none,1.0
__tiny_random__,0,gender,2,neutral,hi,informative,en,none,0.0
__tiny_random__,0,gender,2,neutral,hi,neutral,bn,none,0.9166666666666666
__tiny_random__,0,gender,2,neutral,hi,neutral,hi,none,1.0
__tiny_random__,0,gender,2,neutral,hi,neutral,en,none,0.5
__tiny_random__,0,gender,2,neutral,hi,neutral,hi,shuffled,0.5833333333333334
__tiny_random__,0,gender,3,neutral,hi,informative,bn,none,0.5
__tiny_random__,0,gender,3,neutral,hi,informative,hi,none,1.0
__tiny_random__,0,gender,3,neutral,hi,informative,en,none,0.0
__tiny_random__,0,gender,3,neutral,hi,neutral,bn,none,0.9166666666666666
__tiny_random__,0,gender,3,neutral,hi,neutral,hi,none,1.0
__tiny_random__,0,gender,3,neutral,hi,neutral,en,none,0.5
__tiny_random__,0,gender,3,neutral,hi,neutral,hi,shuffled,0.6666666666666666
__tiny_random__,0,gender,0,neutral,en,informative,bn,none,0.5
__tiny_random__,0,gender,0,neutral,en,informative,hi,none,0.5
__tiny_random__,0,gender,0,neutral,en,informative,en,none,1.0
__tiny_random__,0,gender,0,neutral,en,neutral,bn,none,0.5
__tiny_random__,0,gender,0,neutral,en,neutral,hi,none,0.5
__tiny_random__,0,gender,0,neutral,en,neutral,en,none,1.0
__tiny_random__,0,gender,0,neutral,en,neutral,en,shuffled,0.4166666666666667
__tiny_random__,0,gender,1,neutral,en,informative,bn,none,0.5
__tiny_random__,0,gender,1,neutral,en,informative,hi,none,0.5
__tiny_random__,0,gender,1,neutral,en,informative,en,none,1.0
__tiny_random__,0,gender,1,neutral,en,neutral,bn,none,0.5
__tiny_random__,0,gender,1,neutral,en,neutral,hi,none,0.5
__tiny_random__,0,gender,1,neutral,en,neutral,en,none,1.0
__tiny_random__,0,gender,1,neutral,en,neutral,en,shuffled,0.4166666666666667
__tiny_random__,0,gender,2,neutral,en,informative,bn,none,0.5
__tiny_random__,0,gender,2,neutral,en,informative,hi,none,0.3333333333333333
__tiny_random__,0,gender,2,neutral,en,informative,en,none,1.0
__tiny_random__,0,gender,2,neutral,en,neutral,bn,none,0.5
__tiny_random__,0,gender,2,neutral,en,neutral,hi,none,0.3333333333333333
__tiny_random__,0,gender,2,neutral,en,neutral,en,none,1.0
__tiny_random__,0,gender,2,neutral,en,neutral,en,shuffled,0.4166666666666667
__tiny_random__,0,gender,3,neutral,en,informative,bn,none,0.5
__tiny_random__,0,gender,3,neutral,en,informative,hi,none,0.16666666666666666
__tiny_random__,0,gender,3,neutral,en,informative,en,none,1.0
__tiny_random__,0,gender,3,neutral,en,neutral,bn,none,0.5
__tiny_random__,0,gender,3,neutral,en,neutral,hi,none,0.16666666666666666
__tiny_random__,0,gender,3,neutral,en,neutral,en,none,1.0
__tiny_random__,0,gender,3,neutral,en,neutral,en,shuffled,0.5
