model,seed,concept,layer,rank,direction,context,eval_lang,acc,pair_acc,logit_diff,n
bigscience/bloom-1b7,2,side,-1,0,none,informative,bn,0.5,0.9,0.16770833532015483,120
bigscience/bloom-1b7,2,side,-1,0,none,informative,en,0.575,1.0,0.18229166666666666,120
bigscience/bloom-1b7,2,side,-1,0,none,informative,hi,0.475,0.2833333333333333,-0.1005208412806193,120
bigscience/bloom-1b7,2,side,-1,0,none,neutral,bn,0.5,0.8833333333333333,0.07708335916201274,120
bigscience/bloom-1b7,2,side,-1,0,none,neutral,en,0.48333333333333334,0.5,0.0,120
bigscience/bloom-1b7,2,side,-1,0,none,neutral,hi,0.5,0.0,-0.16979166467984516,120
bigscience/bloom-1b7,2,gender,-1,0,none,informative,bn,0.5,1.0,0.42864583134651185,120
bigscience/bloom-1b7,2,gender,-1,0,none,informative,en,0.7416666666666667,1.0,0.8760416746139527,120
bigscience/bloom-1b7,2,gender,-1,0,none,informative,hi,0.5083333333333333,0.475,-0.008333337306976319,120
bigscience/bloom-1b7,2,gender,-1,0,none,neutral,bn,0.5,1.0,0.2786458392937978,120
bigscience/bloom-1b7,2,gender,-1,0,none,neutral,en,0.6833333333333333,1.0,0.8333333333333334,120
bigscience/bloom-1b7,2,gender,-1,0,none,neutral,hi,0.5,1.0,0.18541666666666667,120
bigscience/bloom-1b7,2,side,0,1,bn,informative,bn,0.5083333333333333,0.8833333333333333,0.15624998609224955,120
bigscience/bloom-1b7,2,side,0,1,bn,informative,en,0.5833333333333334,1.0,0.17708333333333334,120
bigscience/bloom-1b7,2,side,0,1,bn,informative,hi,0.48333333333333334,0.3,-0.09270832538604737,120
bigscience/bloom-1b7,2,side,0,1,bn,neutral,bn,0.5,0.85,0.08125000993410746,120
bigscience/bloom-1b7,2,side,0,1,bn,neutral,en,0.48333333333333334,0.5,0.0,120
bigscience/bloom-1b7,2,side,0,1,bn,neutral,hi,0.5,0.0,-0.16927083532015483,120
bigscience/bloom-1b7,2,side,2,1,bn,informative,bn,0.5083333333333333,0.9,0.17343749205271403,120
bigscience/bloom-1b7,2,side,2,1,bn,informative,en,0.5666666666666667,0.9916666666666667,0.17708333333333334,120
bigscience/bloom-1b7,2,side,2,1,bn,informative,hi,0.475,0.31666666666666665,-0.10156250993410747,120
bigscience/bloom-1b7,2,side,2,1,bn,neutral,bn,0.5,0.8833333333333333,0.09322917064030965,120
bigscience/bloom-1b7,2,side,2,1,bn,neutral,en,0.48333333333333334,0.5083333333333333,0.0010416666666666667,120
bigscience/bloom-1b7,2,side,2,1,bn,neutral,hi,0.5,0.0,-0.17395833532015484,120
bigscience/bloom-1b7,2,side,4,1,bn,informative,bn,0.5,0.9166666666666666,0.16041666865348816,120
bigscience/bloom-1b7,2,side,4,1,bn,informative,en,0.575,0.9916666666666667,0.16770833333333332,120
bigscience/bloom-1b7,2,side,4,1,bn,informative,hi,0.48333333333333334,0.30833333333333335,-0.10156250397364298,120
bigscience/bloom-1b7,2,side,4,1,bn,neutral,bn,0.5,0.8583333333333333,0.07760417660077414,120
bigscience/bloom-1b7,2,side,4,1,bn,neutral,en,0.48333333333333334,0.5083333333333333,0.0010416666666666667,120
bigscience/bloom-1b7,2,side,4,1,bn,neutral,hi,0.5,0.0,-0.17500001589457195,120
bigscience/bloom-1b7,2,side,6,1,bn,informative,bn,0.5,0.775,0.09427083333333333,120
bigscience/bloom-1b7,2,side,6,1,bn,informative,en,0.5583333333333333,1.0,0.16354166666666667,120
bigscience/bloom-1b7,2,side,6,1,bn,informative,hi,0.475,0.26666666666666666,-0.11197917262713114,120
bigscience/bloom-1b7,2,side,6,1,bn,neutral,bn,0.5,0.6333333333333333,0.029687498013178507,120
bigscience/bloom-1b7,2,side,6,1,bn,neutral,en,0.48333333333333334,0.5,0.0,120
bigscience/bloom-1b7,2,side,6,1,bn,neutral,hi,0.5,0.0,-0.1729166587193807,120
bigscience/bloom-1b7,2,side,8,1,bn,informative,bn,0.5,0.8583333333333333,0.13385417858759563,120
bigscience/bloom-1b7,2,side,8,1,bn,informative,en,0.5666666666666667,0.9916666666666667,0.17291666666666666,120
bigscience/bloom-1b7,2,side,8,1,bn,informative,hi,0.4666666666666667,0.26666666666666666,-0.10989582339922586,120
bigscience/bloom-1b7,2,side,8,1,bn,neutral,bn,0.5,0.7416666666666667,0.048437503973642985,120
bigscience/bloom-1b7,2,side,8,1,bn,neutral,en,0.48333333333333334,0.5,0.0,120
bigscience/bloom-1b7,2,side,8,1,bn,neutral,hi,0.5,0.0,-0.17499999205271402,120
bigscience/bloom-1b7,2,side,10,1,bn,informative,bn,0.5,0.9416666666666667,0.16562499006589254,120
bigscience/bloom-1b7,2,side,10,1,bn,informative,en,0.575,0.9916666666666667,0.17291666666666666,120
bigscience/bloom-1b7,2,side,10,1,bn,informative,hi,0.475,0.3,-0.0885416547457377,120
bigscience/bloom-1b7,2,side,10,1,bn,neutral,bn,0.5,0.8333333333333334,0.07395833532015482,120
bigscience/bloom-1b7,2,side,10,1,bn,neutral,en,0.48333333333333334,0.5083333333333333,0.0010416666666666667,120
bigscience/bloom-1b7,2,side,10,1,bn,neutral,hi,0.5,0.0,-0.1682291547457377,120
bigscience/bloom-1b7,2,side,12,1,bn,informative,bn,0.5,0.8833333333333333,0.13489584922790526,120
bigscience/bloom-1b7,2,side,12,1,bn,informative,en,0.575,0.9916666666666667,0.17708333333333334,120
bigscience/bloom-1b7,2,side,12,1,bn,informative,hi,0.4666666666666667,0.30833333333333335,-0.09062501192092895,120
bigscience/bloom-1b7,2,side,12,1,bn,neutral,bn,0.5,0.7333333333333333,0.047916658719380695,120
bigscience/bloom-1b7,2,side,12,1,bn,neutral,en,0.48333333333333334,0.5,0.0,120
bigscience/bloom-1b7,2,side,12,1,bn,neutral,hi,0.5,0.0,-0.17916669050852457,120
bigscience/bloom-1b7,2,side,12,4,bn,informative,bn,0.5,0.825,0.11510417858759563,120
bigscience/bloom-1b7,2,side,12,4,bn,informative,en,0.5916666666666667,0.9916666666666667,0.171875,120
bigscience/bloom-1b7,2,side,12,4,bn,informative,hi,0.4666666666666667,0.3,-0.09218748807907104,120
bigscience/bloom-1b7,2,side,12,4,bn,neutral,bn,0.5,0.5666666666666667,0.013020837306976318,120
bigscience/bloom-1b7,2,side,12,4,bn,neutral,en,0.475,0.5083333333333333,0.0010416666666666667,120
bigscience/bloom-1b7,2,side,12,4,bn,neutral,hi,0.5,0.0,-0.18489583333333334,120
bigscience/bloom-1b7,2,side,14,1,bn,informative,bn,0.5,0.8166666666666667,0.12395833134651184,120
bigscience/bloom-1b7,2,side,14,1,bn,informative,en,0.575,0.9916666666666667,0.175,120
bigscience/bloom-1b7,2,side,14,1,bn,informative,hi,0.475,0.2916666666666667,-0.10312499205271403,120
bigscience/bloom-1b7,2,side,14,1,bn,neutral,bn,0.5,0.6416666666666667,0.030729172627131145,120
bigscience/bloom-1b7,2,side,14,1,bn,neutral,en,0.48333333333333334,0.5,0.0,120
bigscience/bloom-1b7,2,side,14,1,bn,neutral,hi,0.5,0.0,-0.17812499801317852,120
bigscience/bloom-1b7,2,side,16,1,bn,informative,bn,0.5,0.925,0.16093751390775043,120
bigscience/bloom-1b7,2,side,16,1,bn,informative,en,0.5666666666666667,0.9916666666666667,0.175,120
bigscience/bloom-1b7,2,side,16,1,bn,informative,hi,0.48333333333333334,0.25833333333333336,-0.11666668057441712,120
