model,seed,concept,layer,rank,direction,context,eval_lang,acc,logit_diff,n
bigscience/bloom-560m,0,side,16,1,bn,informative,en,0.5083333333333333,0.08317947387695312,120
bigscience/bloom-560m,0,side,16,1,bn,informative,hi,0.6083333333333333,0.3384599447250366,120
bigscience/bloom-560m,0,side,16,1,bn,neutral,bn,0.43333333333333335,-0.19342687527338664,120
bigscience/bloom-560m,0,side,16,1,bn,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,16,1,bn,neutral,hi,0.48333333333333334,-0.03936224281787872,120
bigscience/bloom-560m,0,side,18,1,bn,informative,bn,0.6833333333333333,0.3091926435629527,120
bigscience/bloom-560m,0,side,18,1,bn,informative,en,0.5083333333333333,0.08599446614583334,120
bigscience/bloom-560m,0,side,18,1,bn,informative,hi,0.6166666666666667,0.3389074355363846,120
bigscience/bloom-560m,0,side,18,1,bn,neutral,bn,0.43333333333333335,-0.20555548866589865,120
bigscience/bloom-560m,0,side,18,1,bn,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,18,1,bn,neutral,hi,0.4666666666666667,-0.04736660420894623,120
bigscience/bloom-560m,0,side,20,1,bn,informative,bn,0.65,0.30612377723058065,120
bigscience/bloom-560m,0,side,20,1,bn,informative,en,0.5,0.08290252685546876,120
bigscience/bloom-560m,0,side,20,1,bn,informative,hi,0.6166666666666667,0.356777548789978,120
bigscience/bloom-560m,0,side,20,1,bn,neutral,bn,0.44166666666666665,-0.19686654408772786,120
bigscience/bloom-560m,0,side,20,1,bn,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,20,1,bn,neutral,hi,0.49166666666666664,-0.026898993055025737,120
bigscience/bloom-560m,0,side,22,1,bn,informative,bn,0.6333333333333333,0.25632947285970054,120
bigscience/bloom-560m,0,side,22,1,bn,informative,en,0.5,0.08022740681966146,120
bigscience/bloom-560m,0,side,22,1,bn,informative,hi,0.6166666666666667,0.346403165658315,120
bigscience/bloom-560m,0,side,22,1,bn,neutral,bn,0.44166666666666665,-0.21845271190007529,120
bigscience/bloom-560m,0,side,22,1,bn,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,22,1,bn,neutral,hi,0.48333333333333334,-0.0279894083738327,120
bigscience/bloom-560m,0,side,0,1,hi,informative,bn,0.65,0.31795513232549033,120
bigscience/bloom-560m,0,side,0,1,hi,informative,en,0.5083333333333333,0.07806320190429687,120
bigscience/bloom-560m,0,side,0,1,hi,informative,hi,0.6166666666666667,0.3192702223857244,120
bigscience/bloom-560m,0,side,0,1,hi,neutral,bn,0.44166666666666665,-0.17555055419603985,120
bigscience/bloom-560m,0,side,0,1,hi,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,0,1,hi,neutral,hi,0.475,-0.03310698767503103,120
bigscience/bloom-560m,0,side,2,1,hi,informative,bn,0.6583333333333333,0.3104354719320933,120
bigscience/bloom-560m,0,side,2,1,hi,informative,en,0.5,0.08147837320963541,120
bigscience/bloom-560m,0,side,2,1,hi,informative,hi,0.6416666666666667,0.3849926749865214,120
bigscience/bloom-560m,0,side,2,1,hi,neutral,bn,0.44166666666666665,-0.18857643604278565,120
bigscience/bloom-560m,0,side,2,1,hi,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,2,1,hi,neutral,hi,0.49166666666666664,-0.0060410648584365845,120
bigscience/bloom-560m,0,side,4,1,hi,informative,bn,0.6583333333333333,0.3164982577164968,120
bigscience/bloom-560m,0,side,4,1,hi,informative,en,0.5083333333333333,0.0809460957845052,120
bigscience/bloom-560m,0,side,4,1,hi,informative,hi,0.5833333333333334,0.20804583728313447,120
bigscience/bloom-560m,0,side,4,1,hi,neutral,bn,0.425,-0.18751012285550436,120
bigscience/bloom-560m,0,side,4,1,hi,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,4,1,hi,neutral,hi,0.43333333333333335,-0.14813359578450522,120
bigscience/bloom-560m,0,side,6,1,hi,informative,bn,0.6666666666666666,0.30057998895645144,120
bigscience/bloom-560m,0,side,6,1,hi,informative,en,0.5083333333333333,0.08539098103841146,120
bigscience/bloom-560m,0,side,6,1,hi,informative,hi,0.6166666666666667,0.35058171649773917,120
bigscience/bloom-560m,0,side,6,1,hi,neutral,bn,0.43333333333333335,-0.18488290309906005,120
bigscience/bloom-560m,0,side,6,1,hi,neutral,en,0.5,0.0,120
